Function Code,Specialty,Total Waiting,Over 18 Weeks,% Within 18 Weeks,Median Wait (weeks),92nd Percentile Wait (weeks),Month
C_120,Ear Nose and Throat Service,601568,309391,0.514307609447311,16.726027397260275,50.80371854613235,2023-04
C_130,Ophthalmology Service,636654,405212,0.636471301523276,11.891772279219474,42.05065539112052,2023-04
C_140,Oral Surgery Service,319902,164223,0.513354089689968,16.697872340425533,49.447144766147005,2023-04
C_150,Neurosurgical Service,60503,30942,0.511412657223609,16.80406746031746,50.310954773869355,2023-04
C_160,Plastic Surgery Service,99189,52843,0.532750607426227,15.607760532150776,50.70363057324842,2023-04
C_170,Cardiothoracic Surgery Service,12090,7973,0.659470636889992,11.457711442786069,40.03373493975905,2023-04
C_300,General Internal Medicine Service,47161,30303,0.642543627149552,12.250790638836179,41.88807980049876,2023-04
C_301,Gastroenterology Service,386152,222550,0.576327456545609,14.129345189975748,45.43393600000001,2023-04
C_320,Cardiology Service,377176,237558,0.629833287377776,12.644011637304025,41.211220779220795,2023-04
C_330,Dermatology Service,367508,213818,0.581805021931495,13.47939988459319,45.94030471943515,2023-04
C_340,Respiratory Medicine Service,209506,135269,0.64565692629328,12.238557763061074,39.084405705229806,2023-04
C_400,Neurology Service,223732,125225,0.559709831405432,14.720914246434095,45.22271229404309,2023-04
C_410,Rheumatology Service,129313,84782,0.655634004315111,11.325949367088608,40.13415789473685,2023-04
C_430,Elderly Medicine Service,25389,20562,0.809878293749261,8.258838383838384,26.99940298507463,2023-04
C_502,Gynaecology Service,585420,316084,0.539926890095999,15.413568841918558,48.75106899902819,2023-04
X02,Other - Medical Services,602009,402418,0.668458444973414,11.270385315683283,38.7233667953668,2023-04
X03,Other - Mental Health Services,21754,14823,0.681391927921302,10.456011730205278,37.745511811023626,2023-04
X04,Other - Paediatric Services,411770,242476,0.588862714622241,13.675075681130172,45.69694965086366,2023-04
X05,Other - Surgical Services,457540,264861,0.578880535035188,13.708952614093374,47.83358531317497,2023-04
X06,Other - Other Services,180378,129446,0.717637405892071,9.141728624535316,37.92609485368316,2023-04
C_999,Total,7415352,4324159,0.58313603993445,13.791910850206458,46.033720577746074,2023-04
